2015/03/12 12:29:59	T	xlive 	3120:5072 	[OUT 0'0"0]       CDBFS::_uninitDBEnv 	FL:DBFS.cpp(779)
2015/03/12 12:29:59	T	xlive 	3120:5072 	[OUT 0'0"0]       CDBFSShare::_uninitDBEnv 	FL:DBFSShare.cpp(26)
2015/03/12 12:29:59	T	xlive 	3120:5072 	[OUT 0'0"0]       CDBFS::uninit 	FL:DBFS.cpp(32)
2015/03/12 12:29:59	T	xlive 	3120:5072 	[OUT 0'0"718]     CSyncManager::delFolderItemsByPath 	FL:SyncManager.cpp(201)
2015/03/12 12:29:59	T	xlive 	3120:5072 	[OUT 0'0"718]     CLibXLiveImpl::setExcludeFolderPath 	FL:LibXLiveImpl.cpp(273)
2015/03/12 12:29:59	T	xlive 	3120:5072 	[IN]              CLibXLiveImpl::setExcludeFilePostfix 	FL:LibXLiveImpl.cpp(292)
2015/03/12 12:29:59	T	xlive 	3120:5072 	[OUT 0'0"0]       CLibXLiveImpl::setExcludeFilePostfix 	FL:LibXLiveImpl.cpp(292)
2015/03/12 12:29:59	T	xlive 	3120:5072 	[IN]              CLibXLiveImpl::setExcludeFileName 	FL:LibXLiveImpl.cpp(310)
2015/03/12 12:29:59	T	xlive 	3120:5072 	[OUT 0'0"0]       CLibXLiveImpl::setExcludeFileName 	FL:LibXLiveImpl.cpp(310)
2015/03/12 12:29:59	T	xlive 	3120:5072 	[IN]              CLibXLiveImpl::setExcludeFilePrefix 	FL:LibXLiveImpl.cpp(286)
2015/03/12 12:29:59	T	xlive 	3120:5072 	[OUT 0'0"0]       CLibXLiveImpl::setExcludeFilePrefix 	FL:LibXLiveImpl.cpp(286)
2015/03/12 12:29:59	T	xlive 	3120:5072 	[IN]              CLibXLiveImpl::setExcludeFolderPrefix 	FL:LibXLiveImpl.cpp(298)
2015/03/12 12:29:59	T	xlive 	3120:5072 	[OUT 0'0"0]       CLibXLiveImpl::setExcludeFolderPrefix 	FL:LibXLiveImpl.cpp(298)
2015/03/12 12:29:59	T	xlive 	3120:5072 	[IN]              CLibXLiveImpl::setExcludeFolderPostfix 	FL:LibXLiveImpl.cpp(304)
2015/03/12 12:29:59	T	xlive 	3120:5072 	[OUT 0'0"0]       CLibXLiveImpl::setExcludeFolderPostfix 	FL:LibXLiveImpl.cpp(304)
2015/03/12 12:29:59	T	xlive 	3120:5072 	[IN]              CLibXLiveImpl::startSync 	FL:LibXLiveImpl.cpp(378)
2015/03/12 12:29:59	T	xlive 	3120:5072 	[IN]              CSyncManager::startSync 	FL:SyncManager.cpp(417)
2015/03/12 12:29:59	T	xlive 	3120:5072 	[IN]              CSyncManager::_init 	FL:SyncManager.cpp(814)
2015/03/12 12:29:59	T	xlive 	3120:5072 	[IN]              CLocalFS::init 	FL:LocalFS.cpp(27)
2015/03/12 12:29:59	I	xlive 	3120:5072 	syncroot = E:/腾讯/常用代码 	FL:LocalFS.cpp(31)
2015/03/12 12:29:59	T	xlive 	3120:5072 	[OUT 0'0"0]       CLocalFS::init 	FL:LocalFS.cpp(27)
2015/03/12 12:29:59	T	xlive 	3120:5072 	[IN]              CDBFS::init 	FL:DBFS.cpp(21)
2015/03/12 12:29:59	T	xlive 	3120:5072 	[IN]              CDBFS::_initDBEnv 	FL:DBFS.cpp(737)
2015/03/12 12:29:59	T	xlive 	3120:5072 	[IN]              CDBFS::_cleanIncorrectDB 	FL:DBFS.cpp(951)
2015/03/12 12:29:59	T	xlive 	3120:5072 	[OUT 0'0"0]       CDBFS::_cleanIncorrectDB 	FL:DBFS.cpp(951)
2015/03/12 12:29:59	T	xlive 	3120:5072 	[IN]              CDBFS::_cleanIncorrectDB 	FL:DBFS.cpp(951)
2015/03/12 12:29:59	T	xlive 	3120:5072 	[OUT 0'0"0]       CDBFS::_cleanIncorrectDB 	FL:DBFS.cpp(951)
2015/03/12 12:29:59	T	xlive 	3120:5072 	[IN]              CDBFS::_cleanIncorrectDB 	FL:DBFS.cpp(951)
2015/03/12 12:29:59	T	xlive 	3120:5072 	[OUT 0'0"0]       CDBFS::_cleanIncorrectDB 	FL:DBFS.cpp(951)
2015/03/12 12:29:59	T	xlive 	3120:5072 	[IN]              CDBFS::_cleanIncorrectDB 	FL:DBFS.cpp(951)
2015/03/12 12:29:59	T	xlive 	3120:5072 	[OUT 0'0"0]       CDBFS::_cleanIncorrectDB 	FL:DBFS.cpp(951)
2015/03/12 12:29:59	T	xlive 	3120:5072 	[IN]              CDBFS::_cleanIncorrectDB 	FL:DBFS.cpp(951)
2015/03/12 12:29:59	T	xlive 	3120:5072 	[OUT 0'0"0]       CDBFS::_cleanIncorrectDB 	FL:DBFS.cpp(951)
2015/03/12 12:29:59	T	xlive 	3120:5072 	[IN]              CDBFS::_cleanIncorrectDB 	FL:DBFS.cpp(951)
2015/03/12 12:29:59	T	xlive 	3120:5072 	[OUT 0'0"0]       CDBFS::_cleanIncorrectDB 	FL:DBFS.cpp(951)
2015/03/12 12:29:59	T	xlive 	3120:5072 	[IN]              CDBFS::_cleanIncorrectDB 	FL:DBFS.cpp(951)
2015/03/12 12:29:59	T	xlive 	3120:5072 	[OUT 0'0"0]       CDBFS::_cleanIncorrectDB 	FL:DBFS.cpp(951)
2015/03/12 12:29:59	T	xlive 	3120:5072 	[IN]              CDBFS::_createTables 	FL:DBFS.cpp(829)
2015/03/12 12:29:59	T	xlive 	3120:5072 	[OUT 0'0"0]       CDBFS::_createTables 	FL:DBFS.cpp(829)
2015/03/12 12:29:59	T	xlive 	3120:5072 	[IN]              CDBFS::_fixIncorrectData 	FL:DBFS.cpp(923)
2015/03/12 12:29:59	T	xlive 	3120:5072 	[IN]              CDBFS::queryBindPath 	FL:DBFS.cpp(506)
2015/03/12 12:29:59	T	xlive 	3120:5072 	[OUT 0'0"0]       CDBFS::queryBindPath 	FL:DBFS.cpp(506)
2015/03/12 12:29:59	T	xlive 	3120:5072 	[OUT 0'0"0]       CDBFS::_fixIncorrectData 	FL:DBFS.cpp(923)
